"Survey_Season","Site","Date","Duration_Hours","Males","Females","Juveniles","Total","y","x"
"Summer","Agate Beach",2021-07-18 20:00:00,0.5,7,0,10,17,44.6617611631186,-124.060477255684
"Summer","Agate Beach",2021-06-19 20:00:00,1.5,2,12,6,20,44.5251328580338,-124.078048821882
"Summer","Agate Beach",2021-05-20 20:00:00,0.75,3,11,5,19,44.4593859051183,-124.082595829028
"Summer","Agate Beach",2021-05-20 20:00:00,3,3,9,1,13,44.0921244064832,-124.124318158489
"Summer","Agate Beach",2021-06-21,1,5,15,8,28,44.0893723644247,-124.125059260821
"Summer","Bayshore Spit",2021-04-20 20:00:00,1.5,1,13,2,16,44.0660518781519,-124.128323794757
"Summer","Bayshore Spit",2021-05-20 20:00:00,3,7,12,6,25,44.0527059733238,-124.1313583676
"Summer","Bayshore Spit",2021-07-19 20:00:00,0.5,13,1,2,16,44.0565007031931,-124.129962464111
"Summer","Bayshore Spit",2021-07-20 20:00:00,2.25,5,7,8,20,44.0497398082566,-124.1313583676
"Summer","Bayshore Spit",2021-06-20 20:00:00,0.75,13,8,0,21,43.3507485010312,-124.344705275519
"Summer","Leadbetter Point",2021-07-20 20:00:00,2.25,4,15,9,28,41.0278647235663,-124.113314460497
"Summer","Leadbetter Point",2021-05-22 20:00:00,0.5,15,3,6,24,41.0113215620608,-124.114600467636
"Summer","Leadbetter Point",2021-05-24 20:00:00,3,6,12,9,27,40.2973726362747,-124.355847107801
"Summer","Leadbetter Point",2021-06-28,1.5,13,5,1,19,40.2953598298224,-124.354311214057
"Summer","Leadbetter Point",2021-06-25,0.5,8,15,5,28,40.2937125671164,-124.354731785903
"Winter","Agate Beach",2021-01-16 20:00:00,2.25,12,15,5,32,44.6707393992962,-124.061751776261
"Winter","Agate Beach",2021-01-16 20:00:00,0.5,0,13,4,17,44.6804565587639,-124.069624662384
"Winter","Agate Beach",2021-01-18 20:00:00,2,1,7,7,15,44.706311369918,-124.061452056091
"Winter","Agate Beach",2021-01-16 20:00:00,2.25,10,8,10,28,44.7171556407073,-124.059563751685
"Winter","Agate Beach",2021-01-19 20:00:00,0.5,11,0,6,17,44.5128334669373,-124.08021406345
"Winter","Bayshore Spit",2021-02-20 20:00:00,1,2,8,8,18,43.3730110384429,-124.324903605872
"Winter","Bayshore Spit",2021-02-20 20:00:00,3,13,13,1,27,43.3719723017837,-124.324087042226
"Winter","Bayshore Spit",2021-03-22 20:00:00,0.5,8,6,2,16,43.0452609695538,-124.442904730173
"Winter","Bayshore Spit",2021-02-20,0.75,4,10,3,17,43.0452816400831,-124.442513686098
"Winter","Bayshore Spit",2021-02-23,4,7,10,7,24,43.0411688022881,-124.445170050411
"Winter","Leadbetter Point",2021-03-22 20:00:00,0.5,0,4,10,14,41.0132808184548,-124.110940057512
"Winter","Leadbetter Point",2021-01-21 20:00:00,1,10,1,5,16,41.0209762872832,-124.113764562995
"Winter","Leadbetter Point",2021-01-19 20:00:00,0.75,9,8,0,17,41.0130682503563,-124.114278965851
"Winter","Leadbetter Point",2021-01-25 20:00:00,4.5,2,15,7,24,40.2926288197325,-124.356232204309
"Winter","Leadbetter Point",2021-01-21 20:00:00,0.5,14,14,8,36,40.9972963559361,-124.11646298058
